idx,regime,m1,m2,m3,M_total,q12,q13,q23,r12_init,r3_sep,v3_frac,v3_angle,epsilon_total,h_total,dE_max,dE_slope,dL_max,MEGNO,MEGNO_clean,e12_std,e13_std,e23_std,r_min_12,r_min_13,r_min_23,outcome,outcome_class,outcome_class4,traj_file
0,asymmetric,0.27998319734406574,20.298420756811847,0.7832394975052431,21.361643451661156,0.01379334878798921,0.357468179574526,25.915982048231633,4.371903830529578,24.0383944198698,0.7255399252662219,3.7716282619289228,-0.0535600201482397,0.7033498758441202,1.0273053381820125e-09,1.5828295880877872e-11,1.6552064539445591e-15,1.9394252744169773,1.9394252744169773,0.10386100085103102,28.07490288032983,0.05066504719785415,4.369095381408106,19.14676752075422,22.590136130032473,stable,0,0,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00000.npz
1,asymmetric,0.8540642621198175,13.49233670063377,1.0965714369159822,15.442972399669568,0.06329995174814307,0.7788496338385428,12.304111019506276,0.9878215193633207,3.4042055442542454,0.3281274537768966,2.701936624093578,-0.6617036673823711,0.3527409845292096,0.11680678602999958,-0.00039931695663979227,2.1196138622115055e-15,12.170210728236984,10.0,0.1467003216713079,5.801850047901228,0.06861444281959801,0.9821953226370719,0.09717539694966569,0.14305014858612763,chaotic,2,3,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00001.npz
2,near_equal,4.39733524077808,7.069314050282475,11.466649291060556,22.93329858212111,0.6220313893965952,0.3834891195465671,0.6165108804534329,2.5091942702363745,9.535846843237133,0.5305058597940903,2.081473481023391,-0.7855581644728682,2.5953832829492787,2.651258376326327e-06,8.824193757389647e-08,3.3425676580631428e-15,81.06814649711214,10.0,0.10889252884715406,0.20837047976558853,0.11607910348953672,2.1606984417950064,4.995638005811323,2.7382549916091206,chaotic,2,3,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00002.npz
3,near_equal,2.9364270361470672,4.0811054729589165,7.017532509105982,14.035065018211967,0.7195175561140484,0.4184415294602121,0.581558470539788,3.0696827387638588,13.803970016642534,1.5071199621032845,4.739790383362991,-0.10306855386101382,5.809140131959828,2.7442970050262197e-07,9.087981437638308e-09,3.660270758932353e-15,2.08202123081587,2.08202123081587,0.10480033379753805,0.4544400836023181,0.2528335691894228,2.938459446530439,13.873541107294733,13.059221290586393,stable,0,0,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00003.npz
4,asymmetric,40.67091485170192,239.7606469118362,20.857166789587936,301.2887285531261,0.16963131929927294,1.9499731321132825,11.495360291769188,2.8628711485899214,21.687511422746184,1.0017327593464145,3.235461692669192,-6.100352335792628,8.48766642801925,4.506525111830964e-09,3.0536374287609405e-10,3.3787230213325246e-15,2.182325146662133,2.182325146662133,0.10374653831785142,8.614415216143321,0.16255240292555875,2.860870878736007,19.242128832697706,21.27230878398523,stable,0,0,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00004.npz
5,hierarchical,24.54364605036002,90.90326378442437,4.956604742274857,120.40351457705925,0.2699974129483941,4.951705315743131,18.339825043766528,2.094058289648871,30.453121640173787,0.6944726334288459,4.755865466336439,-4.542829838207903,4.155532347339228,1.590282075178018e-09,-7.224268623315052e-11,4.430767550048562e-15,2.29363645531061,2.29363645531061,0.10260960816542904,3.8930479108565987,0.24016469472378055,2.094057525006363,28.74189799783042,30.000687683219972,stable,0,0,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00005.npz
6,near_equal,6.322162541167366,6.630819156036392,12.952981697203757,25.905963394407514,0.9534512090277656,0.4880854994593385,0.5119145005406616,2.507340515979569,8.526918761102012,0.7957373233684059,1.6023219747323896,-0.8337146820304496,3.668648015621887,6.795896406640178e-06,-8.739492857539442e-08,2.093352867959854e-15,5.0862546720477635,5.0862546720477635,0.11586306670890899,0.25509823046822944,0.2118977166772818,1.3541603862964942,6.068378242122582,4.7994417353045575,chaotic,2,3,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00006.npz
7,near_equal,3.7651430989873176,4.1932883084230514,7.958431407410368,15.916862814820737,0.8978975024026563,0.4731011560244729,0.5268988439755273,2.0442542661398337,4.093693039342906,0.7970918899568538,3.209177653084933,-0.9680062195157844,2.1112780523524104,0.0004288318015581937,3.094432683373506e-06,1.268640430726915e-15,25.086174400283873,10.0,0.3522945836696986,0.3140130167320268,0.07648264496970347,2.044259294663027,2.8777221544628313,0.579752593004983,chaotic,2,3,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00007.npz
8,asymmetric,1.462688521127424,12.765186077836965,0.4092825979169036,14.637157196881292,0.11458419111233777,3.573786250800707,31.189173795336085,3.5313688767162827,12.40293242199665,0.5185820527884643,3.21404492188654,-0.2085716447880136,0.825426447131309,2.1567712238725012e-08,1.7685155928510267e-09,5.145921300507445e-15,5.534590083672602,5.534590083672602,0.10384459773642088,6.67652015936091,0.03862303231683873,3.5217441365015545,7.761094255374891,7.352459461717633,chaotic,2,3,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00008.npz
9,asymmetric,6.65223184848401,51.66402519197052,2.8655002553611553,61.18175729581568,0.12875945735482264,2.3214905795377745,18.029670419784697,0.7892459580899597,2.526184486889798,0.779588374296343,1.0372194471678877,-4.308845507109564,1.0861674392750318,6.2785629862030765,4.5296097029910785,5.816615778939941e-14,4.5726697823309514,4.5726697823309514,0.4252523396073927,2.555210757837067,0.3606737750226262,0.7824731312534272,0.016593190733734123,0.6010571259823106,collision,1,2,C:\Users\inbox\PycharmProjects\orbital_simulator\data\dataset3_sample\trajectories\traj_00009.npz
